time,pm10,pm25,co,no2,so2,o3,temperature,humidity,wind_speed,pressure_msl
2024-01-01,68.5,45.2,615.0,15.4,19.9,91.0,17.8,53.0,13.8,1017.6
2024-01-02,42.3,29.4,746.0,16.7,18.7,99.0,17.2,61.0,10.0,1017.9
2024-01-03,84.8,58.7,1246.0,75.3,25.8,30.0,20.0,85.0,3.3,1016.0
2024-01-04,58.7,36.7,435.0,15.7,13.8,80.0,18.4,54.0,15.6,1016.4
2024-01-05,94.8,58.9,620.0,16.4,14.1,90.0,17.1,58.0,17.3,1017.0
2024-01-06,93.4,58.6,652.0,11.5,15.3,93.0,17.7,60.0,16.3,1018.3
2024-01-07,78.9,49.6,653.0,12.4,19.1,89.0,17.2,62.0,18.7,1018.6
2024-01-08,63.8,43.2,750.0,13.5,21.5,102.0,16.3,59.0,13.5,1019.1
2024-01-09,64.7,43.8,841.0,42.6,18.8,57.0,17.3,53.0,12.9,1019.3
2024-01-10,65.4,43.3,732.0,12.7,18.9,98.0,15.3,65.0,15.7,1021.2
2024-01-11,50.1,32.9,645.0,23.0,18.7,65.0,14.9,52.0,10.7,1018.8
2024-01-12,76.8,52.6,1589.0,78.4,24.2,18.0,15.4,74.0,5.9,1017.2
2024-01-13,76.8,52.6,1589.0,78.4,24.2,18.0,15.4,74.0,5.9,1017.2
2024-01-14,38.1,21.1,571.0,50.9,8.1,29.0,19.6,88.0,3.1,1016.3
2024-01-15,38.1,21.1,571.0,50.9,8.1,29.0,19.6,88.0,3.1,1016.3
2024-01-16,64.3,30.4,546.0,43.7,7.7,38.0,20.0,93.0,10.5,1014.2
2024-01-17,84.1,33.6,721.0,66.3,10.8,20.0,20.1,94.0,4.8,1011.5
2024-01-18,108.7,67.3,725.0,13.1,17.4,92.0,18.9,55.0,17.8,1015.4
2024-01-19,85.9,56.9,941.0,38.0,23.4,63.0,18.1,58.0,9.4,1016.6
2024-01-20,85.9,56.9,941.0,38.0,23.4,63.0,18.1,58.0,9.4,1016.6
2024-01-21,68.2,39.7,874.0,65.4,9.7,12.0,18.9,93.0,5.6,1017.7
2024-01-22,68.2,39.7,874.0,65.4,9.7,12.0,18.9,93.0,5.6,1017.7
2024-01-23,61.5,27.9,430.0,37.0,6.1,36.0,19.2,89.0,9.7,1018.1
2024-01-24,93.6,56.2,724.0,25.7,16.2,65.0,17.8,56.0,10.0,1017.5
2024-01-25,93.6,56.2,724.0,25.7,16.2,65.0,17.8,56.0,10.0,1017.5
2024-01-26,93.6,56.2,724.0,25.7,16.2,65.0,17.8,56.0,10.0,1017.5
2024-01-27,99.2,63.3,771.0,13.0,14.0,95.0,18.3,58.0,18.4,1020.9
2024-01-28,98.0,61.0,969.0,32.8,21.4,70.0,17.6,60.0,10.3,1018.6
2024-01-29,81.7,45.4,483.0,18.9,5.4,87.0,21.1,84.0,13.1,1016.6
2024-01-30,46.8,23.2,413.0,31.5,5.7,44.0,20.4,94.0,5.2,1017.7
2024-01-31,65.2,25.8,433.0,33.5,6.3,42.0,21.5,89.0,12.2,1015.6
2024-02-01,57.9,23.0,317.0,18.7,5.1,71.0,21.4,93.0,12.2,1014.2
2024-02-02,104.8,37.5,424.0,32.7,12.0,49.0,22.4,71.0,8.8,1016.0
2024-02-03,104.8,37.5,424.0,32.7,12.0,49.0,22.4,71.0,8.8,1016.0
2024-02-04,104.8,37.5,424.0,32.7,12.0,49.0,22.4,71.0,8.8,1016.0
2024-02-05,41.4,22.6,564.0,46.4,7.4,43.0,19.9,89.0,7.6,1016.5
2024-02-06,47.1,24.1,556.0,44.5,7.2,45.0,20.6,76.0,10.9,1016.8
2024-02-07,53.2,24.3,402.0,27.8,4.7,65.0,21.1,81.0,9.4,1018.2
2024-02-08,65.4,36.8,392.0,12.1,9.5,84.0,18.9,62.0,16.6,1022.1
2024-02-09,49.7,31.1,844.0,65.3,14.2,24.0,16.0,56.0,8.3,1019.4
2024-02-10,59.1,28.1,560.0,39.5,8.4,57.0,18.7,83.0,8.8,1018.9
2024-02-11,36.9,24.7,612.0,44.0,14.6,59.0,17.7,64.0,9.0,1020.7
2024-02-12,44.1,29.6,656.0,49.9,15.0,46.0,18.4,42.0,11.2,1019.9
2024-02-13,44.1,29.6,656.0,49.9,15.0,46.0,18.4,42.0,11.2,1019.9
2024-02-14,91.5,59.5,1717.0,80.8,23.7,14.0,18.9,86.0,8.0,1020.2
2024-02-15,91.5,59.5,1717.0,80.8,23.7,14.0,18.9,86.0,8.0,1020.2
2024-02-16,91.5,59.5,1717.0,80.8,23.7,14.0,18.9,86.0,8.0,1020.2
2024-02-17,91.5,59.5,1717.0,80.8,23.7,14.0,18.9,86.0,8.0,1020.2
2024-02-18,29.6,15.7,413.0,30.6,7.5,53.0,20.0,86.0,11.9,1013.0
2024-02-19,36.2,20.4,272.0,9.4,3.7,93.0,22.7,91.0,24.2,1009.5
2024-02-20,55.6,22.9,263.0,12.0,3.7,84.0,22.7,90.0,18.4,1011.7
2024-02-21,55.9,27.7,261.0,13.2,3.9,85.0,22.0,77.0,19.5,1011.8
2024-02-22,37.3,17.3,322.0,18.9,5.0,84.0,21.5,85.0,13.0,1012.5
2024-02-23,89.4,38.0,945.0,79.2,13.8,21.0,18.4,25.0,11.2,1016.6
2024-02-24,60.3,20.9,349.0,21.2,8.2,84.0,19.2,67.0,12.7,1015.5
2024-02-25,58.2,22.8,394.0,25.8,10.1,71.0,19.6,79.0,7.6,1015.3
2024-02-26,38.5,19.0,297.0,12.4,9.4,86.0,22.2,25.0,23.8,1014.8
2024-02-27,78.0,38.5,312.0,5.8,9.2,97.0,18.4,53.0,33.9,1015.6
2024-02-28,41.3,25.0,363.0,11.6,11.1,93.0,19.7,52.0,24.3,1017.2
2024-02-29,55.5,27.2,408.0,17.9,13.0,77.0,20.9,50.0,15.9,1014.0
2024-03-01,62.9,22.6,452.0,24.0,7.1,100.0,22.2,68.0,6.6,1012.2
2024-03-02,68.0,22.1,224.0,12.4,3.9,61.0,20.1,89.0,5.8,1011.1
2024-03-03,59.0,17.4,269.0,12.8,8.7,78.0,14.6,46.0,22.0,1014.2
2024-03-04,90.3,35.2,386.0,26.8,6.0,55.0,13.9,60.0,8.7,1015.3
2024-03-05,63.3,29.6,574.0,43.7,11.4,42.0,15.7,48.0,12.1,1018.1
2024-03-06,35.0,21.4,498.0,32.5,14.2,51.0,17.6,35.0,12.2,1017.4
2024-03-07,46.9,22.0,300.0,14.1,9.0,104.0,20.0,65.0,11.6,1015.5
2024-03-08,51.5,23.6,405.0,30.0,6.2,52.0,20.2,69.0,12.9,1016.1
2024-03-09,68.7,38.2,632.0,42.1,13.8,69.0,20.3,53.0,10.8,1016.8
2024-03-10,81.0,46.8,792.0,48.2,15.1,75.0,21.5,55.0,9.8,1015.6
2024-03-11,72.4,35.0,472.0,25.8,16.8,77.0,19.1,75.0,11.6,1016.9
2024-03-12,54.8,26.8,360.0,23.0,7.1,64.0,21.3,96.0,9.6,1016.7
2024-03-13,22.2,13.0,237.0,13.8,4.4,55.0,22.0,90.0,18.8,1015.3
2024-03-14,150.9,53.4,261.0,13.2,5.7,78.0,22.5,48.0,18.0,1014.0
2024-03-15,81.3,43.8,761.0,62.9,11.8,38.0,20.0,60.0,12.7,1014.7
2024-03-16,58.6,32.9,524.0,37.9,10.7,61.0,21.2,55.0,11.2,1014.8
2024-03-17,43.1,19.1,342.0,24.0,5.5,59.0,22.5,36.0,10.8,1014.1
2024-03-18,51.0,21.5,350.0,21.9,7.9,71.0,23.4,50.0,11.8,1014.6
2024-03-19,46.2,21.1,377.0,25.5,8.1,69.0,23.5,61.0,13.1,1013.4
2024-03-20,58.7,17.2,295.0,20.4,5.4,56.0,23.0,79.0,9.8,1013.2
2024-03-21,75.2,24.2,349.0,26.4,5.8,50.0,22.6,80.0,12.2,1013.3
2024-03-22,55.8,30.6,259.0,12.1,4.5,81.0,24.1,67.0,14.5,1010.5
2024-03-23,56.2,20.5,264.0,14.7,4.5,68.0,23.7,93.0,12.3,1009.7
